127.0.0.1 - - [08/Nov/2022:17:53:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:53:46 +0530] "GET /springmvc/ HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:54:07 +0530] "GET /springmvc/user HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:55:25 +0530] "POST /springmvc/use HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:56:31 +0530] "GET /springmvc/user HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:56:31 +0530] "GET /springmvc/user HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:56:32 +0530] "GET /springmvc/user HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:56:32 +0530] "GET /springmvc/user HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:57:18 +0530] "POST /springmvc/use HTTP/1.1" 200 197
